,tweet_text,emotion_in_tweet_is_directed_at,Sentiment,brand,processed_text,predicted_sentiment
1759,If I was a really bad person I could have just stolen this guys ipad... Just saying. #sxsw,iPad,1.0,Apple,realli bad person could stolen guy ipad  say  sxsw,Positive
1760,Just had a really great #mophie experience at #sxsw -a user for over 3 months I highly recommend their iPhone 4 battery #goodcustomerservice,iPhone,1.0,Apple,realli great mophi experi sxsw  user  month highli recommend iphon  batteri goodcustomerservic,Positive
1761,It's not a rumor: #Apple is opening up a pop-up store in downtown Austin for #SXSW &amp; iPad 2 launch (via @mention {link},iPad,1.0,Apple,rumor  appl open popup store downtown austin sxsw  ipad  launch  via  link ,Neutral
1762,It's not a rumor: Apple is opening up a popup store for #SXSW + the #iPad2 launch {link} via @mention @mention @mention,N/A,2.0,N/A,rumor  appl open popup store sxsw  ipad launch  link  via,Neutral
1763,It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link},N/A,2.0,N/A,rumor  appl open temporari store downtown austin sxsw ipad  launch  link ,Neutral
1764,It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link} #rgv,N/A,2.0,N/A,rumor  appl open temporari store downtown austin sxsw ipad  launch  link  rgv,Neutral
1765,It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link} via @mention,N/A,2.0,N/A,rumor  appl open temporari store downtown austin sxsw ipad  launch  link  via,Neutral
1766,It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch bit.ly/g03MZB,N/A,2.0,N/A,rumor  appl open temporari store downtown austin sxsw ipad  launch bitlygmzb,Neutral
1767,It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch: It'... {link},Apple,1.0,Apple,rumor  appl open temporari store downtown austin sxsw ipad  launch     link ,Neutral
1768,It's not a rumor: Apple opening up a temporary store in downtown Austin for #SXSW &amp;iPad 2 launch {link},N/A,2.0,N/A,rumor  appl open temporari store downtown austin sxsw  ipad  launch  link ,Neutral
1769,Not just a rumor: the pop-up Apple Store at #SXSW exists...and they're still selling iPads.  {link},N/A,2.0,N/A,rumor  popup appl store sxsw exist  theyr still sell ipad   link ,Neutral
1770,"&lt;just a rumor...&gt; RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",N/A,2.0,N/A, rumor   rt googl launch major new social network call circl  possibl today  link  sxsw,Neutral
1771,"Just got a shiny new #iPad2 at #SXSW ? Discover new music with {link} (built in HTML5, not Flash - looks great on iPad)",iPad,1.0,Apple,got shini new ipad sxsw  discov new music  link   built html   flash  look great ipad ,Positive
1772,Watching a talk by the guy who hired Jony Ive into Apple. #SXSW #industrialdesign,N/A,2.0,N/A,watch talk guy hire joni ive appl  sxsw industrialdesign,Neutral
1773,There is a tech bro posed as a homeless person outside the apple pop up with a sign asking for $$$ for an iPad #SXSW,iPad,1.0,Apple,tech bro pose homeless person outsid appl pop sign ask    ipad sxsw,Neutral
1774,At Q&amp;A with Google and Bing on website rankings. Fun. #sxsw,Google,1.0,Google,q  googl bing websit rank  fun  sxsw,Positive
1775,"At Q&amp;A with google and bing panel. #sxsw (@mention Hilton, Salon J w/ 59 others) {link}",N/A,2.0,N/A,q  googl bing panel  sxsw  hilton  salon j w   other   link ,Neutral
1776,Is Marissa@mention #SXSW wearing a Missoni top????,N/A,2.0,N/A,marissa sxsw wear missoni top   ,Neutral
1777,"Learning ab Google doodles! All doodles should be light, funny &amp; innovative, with exceptions for significant occasions. #GoogleDoodle #sxsw",N/A,2.0,N/A,learn ab googl doodl  doodl light  funni  innov  except signific occas  googledoodl sxsw,Positive
1778,"3/5 available for Android. &gt;&gt; 5 Absolute, Must-Have Apps to Rock #SXSW Interactive by @mention {link} via @mention",Android App,1.0,Android, avail android     absolut  musthav app rock sxsw interact  link  via,Positive
1779,Free portable iPhone charger from @mention I'm about to use the heck out of this at #SXSW. {link},iPhone,1.0,Apple,free portabl iphon charger im use heck sxsw   link ,Positive
1780,saw #Hashable pushed out an update to its iPhone app - looks ready to use as the paperless biz card solution for  #SXSW,iPad or iPhone App,1.0,Apple,saw hashabl push updat iphon app  look readi use paperless biz card solut sxsw,Positive
1781,"Quick, enable the bubble barriers over #PAXEast, #SXSW and all Apple stores. Protect your new #nerdking.",N/A,2.0,N/A,quick  enabl bubbl barrier paxeast  sxsw appl store  protect new nerdk ,Neutral
1782,SXSW Quotables are giving away an iPad 2 today - all you need to do is sign up at {link} to be entered automatically. #sxsw,N/A,2.0,N/A,sxsw quotabl give away ipad  today  need sign  link  enter automat  sxsw,Neutral
1783,It's probably best to keep me away from any Apple pop up stores - the temptation to get a White 3G iPad for #SXSW is insanely tempting.,iPad,1.0,Apple,probabl best keep away appl pop store  temptat get white g ipad sxsw insan tempt ,Neutral
1784,"Learning about all the latest food related apps.  Half the people in this rm make apps #sxsw #gsdm check out lovefresh, coming soon  iphone",iPad or iPhone App,1.0,Apple,learn latest food relat app  half peopl rm make app sxsw gsdm check lovefresh  come soon iphon,Positive
1785,Not just about pretty content. Nat Geo has pretty article on iPad. Cooler is twitter list of current Arctic explorers. #flipboard #SXSW,iPad,1.0,Apple,pretti content  nat geo pretti articl ipad  cooler twitter list current arctic explor  flipboard sxsw,Positive
1786,Thinking about standing outside the Austin Apple Store on 3/11 with $200 cash to snatch iPad 1 from those upgrading. #SXSW,N/A,2.0,N/A,think stand outsid austin appl store    cash snatch ipad  upgrad  sxsw,Neutral
1787,Learning about the future of search from @mention &amp; @mention Creepily social and awesome. #SXSW,N/A,2.0,N/A,learn futur search  creepili social awesom  sxsw,Positive
1788,@mention about to talk at #sxsw on mistakes building #Netflix #iphone app,N/A,0.0,N/A,talk sxsw mistak build netflix iphon app,Unknown
1789,"Learning about using HTML5 across multiple devices by looking at freebeernear.me on the Web, Android, OSX and iPhone #hack5 #sxsw #donline",N/A,2.0,N/A,learn use html  across multipl devic look freebeernearm web  android  osx iphon hack sxsw donlin,Neutral
1790,Keeping tabs on #sxsw via  @mention Awesome iPad app,N/A,2.0,N/A,keep tab sxsw via awesom ipad app,Positive
1791,fucking mac users..... {link} #sxsw CWebb iPad Grant Hill,Apple,0.0,Apple,fuck mac user   link  sxsw cwebb ipad grant hill,Unknown
1792,Talking #accessibility and found this from a google engineer. {link} #sxsw #iQlab,N/A,2.0,N/A,talk access found googl engin   link  sxsw iqlab,Neutral
1793,Google Places with Hotpot personalized &quot;friend&quot; recommendations are pulled from... Facebook??? #SXSW,N/A,2.0,N/A,googl place hotpot person  friend  recommend pull  facebook    sxsw,Neutral
1794,"Yikes, reached a new level of Apple-fanboyism last night: literally fell asleep with a MacBook Pro, iPad 2, &amp; iPhone 4 on top of me. #SXSW",Apple,1.0,Apple,yike  reach new level applefanboy last night  liter fell asleep macbook pro  ipad    iphon  top  sxsw,Unknown
1795,"looking back at some of my tweets from #sxsw and holy wow, so many typos! ughhhhh. autocorrect and my inability to type on ipad. goo",N/A,2.0,N/A,look back tweet sxsw holi wow  mani typo  ughhhhh  autocorrect inabl type ipad  goo,Neutral
1796,"Touch: trackpads first, iPhone, iPad - positives- more natural, don't have to sit, mobile, more relaxed #SXSW #sxswnui",iPhone,1.0,Apple,touch  trackpad first  iphon  ipad  posit  natur  dont sit  mobil  relax sxsw sxswnui,Positive
1797,"#SXSW  Rackspace Startup Program, Cloud 2.0 #iPad App Launched {link} via @mention",N/A,2.0,N/A,sxsw rackspac startup program  cloud  ipad app launch  link  via,Neutral
1798,Has an iPad 2 !!! Wohooo! Tnx Apple for the popup shop at #sxsw!,iPad,1.0,Apple,ipad     wohooo  tnx appl popup shop sxsw ,Positive
1799,My 2nd iPad 2 (wi-fi only) has been sold. Used Craigslist and avoided those pesky eBay fees. #ThankGod. #SXSW.,N/A,2.0,N/A,nd ipad   wifi  sold  use craigslist avoid peski ebay fee  thankgod  sxsw ,Neutral
1800,Win an iPad 2 ~ BizGym Video ClipCon! See intro reel at {link} #sxsw #suasxsw #sxswaccel #ceokidschat #entrepreneur #smallbiz,N/A,2.0,N/A,win ipad   bizgym video clipcon  see intro reel  link  sxsw suasxsw sxswaccel ceokidschat entrepreneur smallbiz,Neutral
1801,Got my ipad 2 and gave to red cross for japan what a first day at #sxsw,iPad,1.0,Apple,got ipad  gave red cross japan first day sxsw,Neutral
1802,Win an iPad 2 at SXSW via @mention ! #sxsw {link},iPad,1.0,Apple,win ipad  sxsw via  sxsw  link ,Neutral
1803,Win an iPad 2 from @mention - just submit &amp; vote up your favorite quotes from #SXSW at {link} {link},N/A,2.0,N/A,win ipad   submit  vote favorit quot sxsw  link   link ,Neutral
1804,"has an ipad 2 in his hands, and it is exquisite. #sxsw",iPad,1.0,Apple,ipad  hand  exquisit  sxsw,Positive
1805,Video: iPad 2 Line Walk: Austin Texas. Did you get one today? - #SXSW {link},N/A,2.0,N/A,video  ipad  line walk  austin texa  get one today   sxsw  link ,Neutral
1806,Is the iPad 2 out yet in USA? Or will it be during #SxSW?,N/A,2.0,N/A,ipad  yet usa  sxsw ,Neutral
1807,Win an iPad 2! via @mention Video ClipCon! See intro reel at {link} #sxsw #suasxsw #sxswaccel #entrepreneur #smallbiz #ceokidschat,iPad,1.0,Apple,win ipad   via video clipcon  see intro reel  link  sxsw suasxsw sxswaccel entrepreneur smallbiz ceokidschat,Neutral
1808,RT Download 20+ FREE tracks from the #SXSW Music Sampler available on the @mention store today! {link},N/A,2.0,N/A,rt download   free track sxsw music sampler avail store today   link ,Neutral
1809,writer iPad app {link} saved my ass on flight &amp; each bigger #SXSW panel - good job @mention @mention :) {link},iPad or iPhone App,1.0,Apple,writer ipad app  link  save ass flight  bigger sxsw panel  good job   link ,Positive
1810,Dawn's iPad App of the Week is up early to help you prep for #SXSW: {link},iPad or iPhone App,1.0,Apple,dawn ipad app week earli help prep sxsw   link ,Positive
1811,Win an iPad at SXSW via @mention #sxsw {link},iPad,1.0,Apple,win ipad sxsw via sxsw  link ,Neutral
1812,Won an iPad case at @mention talking about search research at #SXSW!,N/A,2.0,N/A,ipad case talk search research sxsw ,Neutral
1813,Double iPad DJ Full On Across the Sky #SXSW #tweethouse  {link},N/A,2.0,N/A,doubl ipad dj full across sky sxsw tweethous  link ,Neutral
1814, Not a bad idea! _ {link} _ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,N/A,2.0,N/A,bad idea    link   edchat musedchat sxsw sxswi classic newtwitt,Neutral
1815,Already had my first Google Circle search result. {link} cc @mention @mention #sxsw,Other Google product or service,1.0,Google,alreadi first googl circl search result   link  cc sxsw,Neutral
1816,so the iPad will be available while I'm in Austin for #sxsw -- this is major #GeekDilemma,iPad,1.0,Apple,ipad avail im austin sxsw   major geekdilemma,Positive
1817,"#tech #iPad_2 Gets Temporary ##Apple_Store for #SXSW: Apple is setting up a temporary store in Austin,... {link} #technology",N/A,2.0,N/A,tech ipad get temporari applestor sxsw  appl set temporari store austin    link  technolog,Neutral
1818,Win an iPad2 by signing up here: {link} #sxsw #wantlet,N/A,2.0,N/A,win ipad  sign   link  sxsw wantlet,Neutral
1819,"Buying iPad2? Turn in ur iPad1, Apple store wipes it clean, donates to schools. Mrs. Jobs idea. #Apple #iPad2 #SXSW",Apple,1.0,Apple,buy ipad   turn ur ipad   appl store wipe clean  donat school  mr  job idea  appl ipad sxsw,Positive
1820,beyondbroadcast: #sxsw #evaporation @mention @mention Business model is the platform; iPhone app makes tools... {link},N/A,2.0,N/A,beyondbroadcast  sxsw evapor busi model platform  iphon app make tool   link ,Neutral
1821,I just loaded up the GroupMe app for the iPhone. Load me up #sxsw brethren. ;) {link},N/A,2.0,N/A,load groupm app iphon  load sxsw brethren    link ,Unknown
1822,Monday's Adfonic Daily is Out! Read about #iphone white release #Google social #sxsw and all things #mobile here  {link},iPhone,1.0,Apple,monday adfon daili  read iphon white releas googl social sxsw thing mobil  link ,Unknown
1823,"LoL U r gadgetzilla! Have fun! @mention It's #SXSW Festival time. OMG I'm scared! Got my netbook, #iPad &amp; my droid!",iPad,1.0,Apple,lol u r gadgetzilla  fun  sxsw festiv time  omg im scare  got netbook  ipad  droid ,Positive
1824,"#Apple heads to SXSW, sets up temporary store in #Austin {link} #news #sxsw",N/A,2.0,N/A,appl head sxsw  set temporari store austin  link  news sxsw,Neutral
1825,gettin ready for #sxsw  @mention Apple Store {link},N/A,2.0,N/A,gettin readi sxsw appl store  link ,Neutral
1826,@mention After #SXSW I will never again take a fully charged IPhone for granted; 24/7 pics edit tweet 4square apps =zap! &lt;Good 2 kno!,N/A,1.0,N/A,sxsw never take fulli charg iphon grant   pic edit tweet squar app  zap   good  kno ,Positive
1827,@mention after a few days of #sxsw you still thinking of skipping an iPad? #lightnessofbeing,N/A,2.0,N/A,day sxsw still think skip ipad  lightnessofb,Neutral
1828,"Snotty Dbag at #sxsw &quot;actually, its android. Droid is a brand name. There's a difference&quot; die.",N/A,2.0,N/A,snotti dbag sxsw  actual  android  droid brand name  there differ  die ,Neutral
1829,"packing bag for #sxsw,not taking DELL laptop (sorry richard)...at the mercy of bb torch and iphone, webmail too i suppose...cheers",iPhone,1.0,Apple,pack bag sxsw  take dell laptop  sorri richard   merci bb torch iphon  webmail suppos  cheer,Unknown
1830,Best schwag I've seen at #SXSW is the @mention battery charger for your iPhone. How do I get one?!?!,iPhone,1.0,Apple,best schwag ive seen sxsw batteri charger iphon  get one    ,Neutral
1831,"O no,not again {link} Google Circles Juwan Howard #sxsw",N/A,2.0,N/A,  link  googl circl juwan howard sxsw,Neutral
1832,Evidence against NFC in the iPhone 5 via @mention {link} #checkins #sxsw cc: @mention,N/A,2.0,N/A,evid nfc iphon  via  link  checkin sxsw cc ,Neutral
1833,Waiting eagerly for Google to launch their secret new Social Network called Circles today at #SXSW &gt;&gt; Any new updates ?,Other Google product or service,1.0,Google,wait eagerli googl launch secret new social network call circl today sxsw   new updat ,Positive
1834,@mention ahoy! let your readers know we'll keep em updated #sxsw parties w/ #eventseekr. Android: {link} iPhone app on way,N/A,2.0,N/A,ahoy  let reader know well keep em updat sxsw parti w  eventseekr  android   link  iphon app way,Neutral
1835,"Mission failure - dried up roast beef sandwich with soggy tomato, $6.25.  Oh well, sat in chevy lounge and charged iphone on power mat #sxsw",N/A,2.0,N/A,mission failur  dri roast beef sandwich soggi tomato     oh well  sat chevi loung charg iphon power mat sxsw,Neutral
1836,Google Brain apologies for randy ads popping up with search results; algorithm skewed over weekend by randy queries from #SXSW attendees.,N/A,0.0,N/A,googl brain apolog randi ad pop search result  algorithm skew weekend randi queri sxsw attende ,Negative
1837,"Google Brain spent weekend answering search queries for #SXSW attendees. Don't worry. What you search for on Google, stays with Google.  ;-)",N/A,2.0,N/A,googl brain spent weekend answer search queri sxsw attende  dont worri  search googl  stay googl  ,Neutral
1838,2+ hour wait at the makeshift Apple store for iPad 2. #fail #sxsw,Apple,0.0,Apple,  hour wait makeshift appl store ipad   fail sxsw,Negative
1839,I can't wait to see what @mention 's been up to! @mention big news {link}  #google #circles #sxsw,N/A,2.0,N/A,cant wait see   big news  link  googl circl sxsw,Unknown
1840,Today I waited in line to buy the iPad 2 from the #sxsw pop-up store. And then I roamed Austin for hours without getting mugged. #superlucky,N/A,2.0,N/A,today wait line buy ipad  sxsw popup store  roam austin hour without get mug  superlucki,Neutral
1841,Want to make #SXSW Film more fun? Download #filmaster app {link} check-in to screenings &amp; get private recommendations!,iPad or iPhone App,1.0,Apple,want make sxsw film fun  download filmast app  link  checkin screen  get privat recommend ,Neutral
1842,Can you make it to this spot tonight before 11:30?  {link}   #sxsw #flashmob #kickball #6thstreet,N/A,2.0,N/A,make spot tonight    link  sxsw flashmob kickbal thstreet,Neutral
1843,"Doesn't make sense to limit content to a specific platform, if it's on the iPad it should be on the web @mention interview w/ @mention #sxsw",iPad or iPhone App,0.0,Apple,doesnt make sens limit content specif platform  ipad web interview w  sxsw,Neutral
1844,biggest takeaway from #UXDes thus far -- bring physical world into your iPad design &amp; recreate already learned experiences. #sxsw,N/A,2.0,N/A,biggest takeaway uxd thu far   bring physic world ipad design  recreat alreadi learn experi  sxsw,Neutral
1845,The big takeaway from #SXSW interactive - I need an iphone.,iPhone,1.0,Apple,big takeaway sxsw interact  need iphon ,Neutral
1846,Guy Kawasaki &quot;I believe in God because there is no other explanation for the continuous survival of Apple over the years.&quot;. LOL #SXSW,Apple,0.0,Apple,guy kawasaki  believ god explan continu surviv appl year    lol sxsw,Unknown
1847,"Guy Kawasaki ex Apple Evangelist talking eloquently about the art of enchantment - changing, hearts, minds and actions #sxsw",N/A,2.0,N/A,guy kawasaki ex appl evangelist talk eloqu art enchant  chang  heart  mind action sxsw,Neutral
1848,Google: taking about new product called Hotpot. Review/recommendations engine that is also a social tool. #sxsw,N/A,2.0,N/A,googl  take new product call hotpot  review  recommend engin also social tool  sxsw,Neutral
1849,Apple's taking old iPads for Teach For America (user gets a tax write-off) when you buy a new iPad. Kinda cool. #sxsw,Apple,1.0,Apple,appl take old ipad teach america  user get tax writeoff  buy new ipad  kinda cool  sxsw,Positive
1850,9 Essential Apps for #SXSW and Beyond | Underwire | Wired.com {link} #SocialMedia #iPhone #Android,iPad or iPhone App,1.0,Apple, essenti app sxsw beyond  underwir  wiredcom  link  socialmedia iphon android,Positive
1851,5 Essential Business #Collaboration Apps for #iPad {link} #BPM #SXSW #SXSWi,N/A,2.0,N/A, essenti busi collabor app ipad  link  bpm sxsw sxswi,Neutral
1852,"Existential Google. MT @mention Contextual Discovery Demo: where you are, your history, time of search to refine results. #SXSW",N/A,2.0,N/A,existenti googl  mt contextu discoveri demo   histori  time search refin result  sxsw,Neutral
1853,My informal unscientific observation is that #Apple is by far the computer of choice at #SXSW. Hands down.  No contest.,Apple,1.0,Apple,inform unscientif observ appl far comput choic sxsw  hand  contest ,Positive
1854,"Samsung Galaxy S II Appears At FCC And Team Android #SXSW Party  Android Phones, Android Tablets, News, Tech, Gad.. 
{link}",N/A,2.0,N/A,samsung galaxi ii appear fcc team android sxsw parti android phone  android tablet  news  tech  gad   link ,Neutral
1855,Samsung Galaxy S II Appears At FCC And Team Android #SXSW Party {link} via @mention,N/A,2.0,N/A,samsung galaxi ii appear fcc team android sxsw parti  link  via,Neutral
1856,@mention Alive and loving it! Great talks from Jonathan Dahl #minimalistprogramming and Google's Marissa Mayer #MarissaGoogle - #sxsw,Google,1.0,Google,aliv love  great talk jonathan dahl minimalistprogram googl marissa mayer marissagoogl  sxsw,Positive
1857,Sudden realization in session news publishers have the same questions about iPad design &amp; only share ideas via the App Store #sxsw #sxswi,N/A,2.0,N/A,sudden realiz session news publish question ipad design  share idea via app store sxsw sxswi,Neutral
1858,I just realized my iPhone's gonna go nuts with Foursquare and Gowalla updates. #SXSW,N/A,2.0,N/A,realiz iphon gonna go nut foursquar gowalla updat  sxsw,Neutral
1859,I just realized that I havnt used my laptop since Thursday. Pure #iPhone with a sprinkle of the #iPad2 on top. #Apple #SXSW,iPhone,1.0,Apple,realiz havnt use laptop sinc thursday  pure iphon sprinkl ipad top  appl sxsw,Positive
1860,GroupMe talks about Apple App Store approval woes - there would be a big group of people that would agree with that! #whowillrise #sxsw,Apple,0.0,Apple,groupm talk appl app store approv woe  would big group peopl would agre  whowillris sxsw,Unknown
1861,It's not all Apple love here at #sxsw. Heard quite a bit of grumbling about holding back features on iPad 1 so people would have to buy v2.,Apple,0.0,Apple,appl love sxsw  heard quit bit grumbl hold back featur ipad  peopl would buy v ,Positive
1862,Why does all the #Android meetups here in #Austin are when I'm at work. Well at least there is the PS meetup #sxsw,Android,0.0,Android,android meetup austin im work  well least ps meetup sxsw,Neutral
1863,Server Challenge is a huge hit at #sxsw! Come by booth 400 to try your hand. Win an iPhone 4 bottle opener case by beating 2 mins.,N/A,2.0,N/A,server challeng huge hit sxsw  come booth  tri hand  win iphon  bottl open case beat  min ,Neutral
1864,Google challenges Facebook with surprise announcement at #sxsw this weekend. @mention has the inside scoop: {link},N/A,2.0,N/A,googl challeng facebook surpris announc sxsw weekend  insid scoop   link ,Neutral
1865,"@mention allows you to volunteer on your iPad, #SXSW",N/A,2.0,N/A,allow volunt ipad  sxsw,Positive
1866,I was finally forced to google #sxsw. Why can't people tweet with better #contextclues like on #jeopardy?,N/A,2.0,N/A,final forc googl sxsw  cant peopl tweet better contextclu like jeopardi ,Unknown
1867,Apple. Really? You need brand recognition? I prefer the Red Delicious Variety! :-) {link} #sxsw #popupstores,N/A,2.0,N/A,appl  realli  need brand recognit  prefer red delici varieti    link  sxsw popupstor,Neutral
1868,New #socialnetwork for #Google? #Facebook #Twitter #SXSW {link} via @mention,N/A,2.0,N/A,new socialnetwork googl  facebook twitter sxsw  link  via,Neutral
1869,{link} - Alright #SXSW iPad 2 line time. Line is reasonable. 1/4 block + 1 block + 1/2 block,N/A,2.0,N/A, link   alright sxsw ipad  line time  line reason   block   block   block,Neutral
1870,"@mention also check out @mention for #Android &amp; web. Has group chat, whiteboarding, location &amp; image sharing, and more. #app #SXSW",N/A,2.0,N/A,also check android  web  group chat  whiteboard  locat  imag share   app sxsw,Neutral
1871,And. I'm also gonna Google #SXSW so I will finally know what that means. Been seeing it pass by on Twitter enough times now. Gotta find out.,N/A,2.0,N/A, im also gonna googl sxsw final know mean  see pass twitter enough time  gotta find ,Positive
1872,@mention also if your at #sxsw and have an iphone you can use the @mention site to check in.,N/A,2.0,N/A,also sxsw iphon use site check ,Positive
1873,Monthly value of user iOS $9.50. Android $7.20. Utility apps most valuable. #sxswEisner #sxsw,N/A,1.0,N/A,monthli valu user io    android    util app valuabl  sxsweisner sxsw,Neutral
1874,DL the #Calyp App to get into #Calyp Casa at #SXSW the free mobile app is available in iTunes App Store &amp; Android Market. See u there!,N/A,2.0,N/A,dl calyp app get calyp casa sxsw free mobil app avail itun app store  android market  see u ,Positive
1875,DL the #Calyp App today! Avail in the iTunes App Store &amp; Android Market! #Calyp Look for us at #SXSW,Android App,1.0,Android,dl calyp app today  avail itun app store  android market  calyp look us sxsw,Positive
1876,DL the #Calyp app today! Avail in the iTunes App Store &amp; Android Market. Special perks for #Endorsers at #SXSW #Calyp Casa,N/A,2.0,N/A,dl calyp app today  avail itun app store  android market  special perk endors sxsw calyp casa,Neutral
1877,Google analytics can track offsite links as virtual page views using JavaScript. #moreknowledge #sxsw #mitharvard,Other Google product or service,1.0,Google,googl analyt track offsit link virtual page view use javascript  moreknowledg sxsw mitharvard,Neutral
1878,Google analytics rocks #VIEW512 #SXSW,Other Google product or service,1.0,Google,googl analyt rock view sxsw,Positive
1879,Google team and panel say agencies have attitudes. You think?#agileagency #SXSW,N/A,2.0,N/A,googl team panel say agenc attitud  think  agileag sxsw,Neutral
1880,"At the Team Android party. Can't find it on Gowalla or Foursquare, so um, there you go. #sxsw",N/A,2.0,N/A,team android parti  cant find gowalla foursquar  um  go  sxsw,Neutral
1881,Holler Gram for iPad on the iTunes App Store -  {link} (via @mention #sxsw,N/A,1.0,N/A,holler gram ipad itun app store   link   via sxsw,Positive
1882,Holler Gram for iPad on the iTunes App Store: {link} via @mention all you #SXSW-sters great App from #MadebyMany - Free,iPad or iPhone App,1.0,Apple,holler gram ipad itun app store   link  via sxswster great app madebymani  free,Positive
1883,"UMSHINI WAM/NIGHT FISHING are both weird as shit, but as @mention said they work well together. I liked both, esp the iPhone footage. #SXSW",iPhone,1.0,Apple,umshini wam  night fish weird shit  said work well togeth  like  esp iphon footag  sxsw,Positive
1884,Could a game improve ecodriving habits? RT @mention 35 million miles a day are driven while being Google Maps Navigation assisted.&quot;#sxsw,N/A,2.0,N/A,could game improv ecodriv habit  rt  million mile day driven googl map navig assist   sxsw,Neutral
1885,Style X &amp; @mention - brethren #SXSW pop-ups! ://m.theatlantic.com/technology/archive/2011/03/apple-sets-up-temporary-megastore-at-sxsw/72296/,N/A,2.0,N/A,style x   brethren sxsw popup    mtheatlanticcomtechnologyarchiveapplesetsuptemporarymegastoreatsxsw,Neutral
1886,Marissa &amp; the Google crew recommend Amy's Ice Cream in Austin  #SxSW,N/A,2.0,N/A,marissa  googl crew recommend ami ice cream austin sxsw,Neutral
1887,"Watching an 8 year old report on #sxsw via his iPhone shows that technology isn't going anywhere...until the robots revolt, that is.",iPhone,1.0,Apple,watch  year old report sxsw via iphon show technolog isnt go anywher  robot revolt  ,Positive
1888,"Now You Can Actually Use Q&amp;A Site Hipster, If Youre At SXSW That Is {link} #CO #iPhone #online #SXSW",N/A,2.0,N/A,actual use q  site hipster  your sxsw  link  co iphon onlin sxsw,Neutral
1889,We built an app to map driving directions to polling places before Google Maps. #SXSW ^PR,N/A,2.0,N/A,built app map drive direct poll place googl map  sxsw  pr,Neutral
1890,"There is an art to advertising, not just statistics, says @mention to Google Admob guy who asked a question.  #SXSW #sxflip #SXSWi",N/A,2.0,N/A,art advertis  statist  say googl admob guy ask question  sxsw sxflip sxswi,Neutral
1891,Just won an awesome iPad from @mention at the #sxswbuffalo lounge! My #sxsw experience is complete!,iPad,1.0,Apple,awesom ipad sxswbuffalo loung  sxsw experi complet ,Positive
1892,"#SXSW Vegan Guide Google Map (Austin, TX) ~ {link} ~ Based on the Lazy Smurf's info ~ {link}",Other Google product or service,1.0,Google,sxsw vegan guid googl map  austin  tx    link   base lazi smurf info   link ,Neutral
1893,"Don't by an ipad 2 for the rear-facing camera, here is what you get: {link} #sxsw",iPad,0.0,Apple,dont ipad  rearfac camera  get   link  sxsw,Unknown
1894,"I'll use an iPad 2 if someone gives it to me. Otherwise, iPhone is actually more than up to task #sxsw",iPhone,1.0,Apple,ill use ipad  someon give  otherwis  iphon actual task sxsw,Positive
1895,"Just buy an iPad 2 at #SXSW? Give it the finger. Better yet, give it four of 'em :: {link}",N/A,2.0,N/A,buy ipad  sxsw  give finger  better yet  give four  em   link ,Neutral
1896,Just won an iPad 2 at #sxsw thanks to @mention #fxsw,iPad,1.0,Apple,ipad  sxsw thank fxsw,Positive
1897,Just got an iPad courtesy of a random stranger on the street...an Apple investor at #sxsw ... THANK YOU!!!! Utter... {link},iPad,1.0,Apple,got ipad courtesi random stranger street  appl investor sxsw  thank    utter   link ,Neutral
1898,@mention An iPad is cheaper than most laptops. #newsapps #sxsw,iPad,1.0,Apple,ipad cheaper laptop  newsapp sxsw,Positive
1899,Is there an iPhone app that people use for #SXSW scheduling? This @mention is awesome but there isn't an app! #flummoxed,iPad or iPhone App,1.0,Apple,iphon app peopl use sxsw schedul  awesom isnt app  flummox,Positive
1900,"Just saw an iPhone #periscope move w/ 2nd camera @mention  gowalla talk @mention #sxsw. Snoring guy busted &amp; documented. Get a cpap, homie!",N/A,2.0,N/A,saw iphon periscop move w  nd camera gowalla talk sxsw  snore guy bust  document  get cpap  homi ,Neutral
1901,Want a chance to win an iPad 2 while you're at #SXSW? Visit Aquent Booth 1413 {link},N/A,2.0,N/A,want chanc win ipad  your sxsw  visit aquent booth   link ,Neutral
1902,@mention and @mention #SXSW Industry Party (@mention GSD&amp;M w/ 64 others) {link},N/A,2.0,N/A,sxsw industri parti  gsd  w   other   link ,Neutral
1903,@mention and @mention open up a 64GB 3G iPad 2 - Unboxing and first look - @mention #ipad2 #ipad #apple {link} via @mention #sxsw,N/A,2.0,N/A,open gb g ipad   unbox first look  ipad ipad appl  link  via sxsw,Neutral
1904,@mention and @mention saying hi at #sxsw with their new iPhone cases! #zazzlesxsw {link},N/A,1.0,N/A,say hi sxsw new iphon case  zazzlesxsw  link ,Neutral
1905,@mention and @mention shooting some videos at #sxsw. PS - that is a pic from an iPad 2. {link},iPad,1.0,Apple,shoot video sxsw  ps  pic ipad    link ,Neutral
